X_data,Y_data
1 81109 203615 148 INFO dfs DataNode PacketResponder PacketResponder 1 for block blk38865049064139660 terminating dc2c74b7 ,0
2 81109 203807 222 INFO dfs DataNode PacketResponder PacketResponder 0 for block blk6952295868487656571 terminating dc2c74b7 ,0
3 81109 204005 35 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 73 220 50010 is added to blk7128370237687728475 size 67108864 5d5de21c ,0
4 81109 204015 308 INFO dfs DataNode PacketResponder PacketResponder 2 for block blk8229193803249955061 terminating dc2c74b7 ,0
5 81109 204106 329 INFO dfs DataNode PacketResponder PacketResponder 2 for block blk6670958622368987959 terminating dc2c74b7 ,0
6 81109 204132 26 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 43 115 50010 is added to blk3050920587428079149 size 67108864 5d5de21c ,0
7 81109 204324 34 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 203 80 50010 is added to blk7888946331804732825 size 67108864 5d5de21c ,0
8 81109 204453 34 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 250 11 85 50010 is added to blk2377150260128098806 size 67108864 5d5de21c ,0
9 81109 204525 512 INFO dfs DataNode PacketResponder PacketResponder 2 for block blk572492839287299681 terminating dc2c74b7 ,0
10 81109 204655 556 INFO dfs DataNode PacketResponder Received block blk3587508140051953248 of size 67108864 from 10 251 42 84 e3df2680 ,0
11 81109 204722 567 INFO dfs DataNode PacketResponder Received block blk5402003568334525940 of size 67108864 from 10 251 214 112 e3df2680 ,0
12 81109 204815 653 INFO dfs DataNode DataXceiver Receiving block blk5792489080791696128 src 10 251 30 6 33145 dest 10 251 30 6 50010 09a53393 ,0
13 81109 204842 663 INFO dfs DataNode DataXceiver Receiving block blk1724757848743533110 src 10 251 111 130 49851 dest 10 251 111 130 50010 09a53393 ,0
14 81109 204908 31 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 110 8 50010 is added to blk8015913224713045110 size 67108864 5d5de21c ,0
15 81109 204925 673 INFO dfs DataNode DataXceiver Receiving block blk5623176793330377570 src 10 251 75 228 53725 dest 10 251 75 228 50010 09a53393 ,0
16 81109 205035 28 INFO dfs FSNamesystem BLOCK NameSystem allocateBlock user root rand temporary task2008110920300001m0005900 part00590 blk1727475099218615100 3d91fa85 ,0
17 81109 205056 710 INFO dfs DataNode PacketResponder PacketResponder 1 for block blk5017373558217225674 terminating dc2c74b7 ,0
18 81109 205157 752 INFO dfs DataNode PacketResponder Received block blk9212264480425680329 of size 67108864 from 10 251 123 1 e3df2680 ,0
19 81109 205315 29 INFO dfs FSNamesystem BLOCK NameSystem allocateBlock user root rand temporary task2008110920300001m0007420 part00742 blk7878121102358435702 3d91fa85 ,0
20 81109 205409 28 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 111 130 50010 is added to blk4568434182693165548 size 67108864 5d5de21c ,0
21 81109 205412 832 INFO dfs DataNode PacketResponder Received block blk5704899712662113150 of size 67108864 from 10 251 91 229 e3df2680 ,0
22 81109 205632 28 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 74 79 50010 is added to blk4794867979917102672 size 67108864 5d5de21c ,0
23 81109 205739 29 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 38 197 50010 is added to blk8763662564934652249 size 67108864 5d5de21c ,0
24 81109 205742 1001 INFO dfs DataNode PacketResponder Received block blk5861636720645142679 of size 67108864 from 10 251 70 211 e3df2680 ,0
25 81109 205746 29 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 74 134 50010 is added to blk7453815855294711849 size 67108864 5d5de21c ,0
26 81109 205749 997 INFO dfs DataNode DataXceiver Receiving block blk28342503914935090 src 10 251 123 132 57542 dest 10 251 123 132 50010 09a53393 ,0
27 81109 205754 952 INFO dfs DataNode PacketResponder Received block blk8291449241650212794 of size 67108864 from 10 251 89 155 e3df2680 ,0
28 81109 205858 31 INFO dfs FSNamesystem BLOCK NameSystem allocateBlock user root rand temporary task2008110920300001m0004870 part00487 blk5319073033164653435 3d91fa85 ,0
29 81109 205931 13 INFO dfs DataBlockScanner Verification succeeded for blk4980916519894289629 32777b38 ,0
30 81109 210022 1110 INFO dfs DataNode PacketResponder Received block blk5974833545991408899 of size 67108864 from 10 251 31 180 e3df2680 ,0
31 81109 210037 1084 INFO dfs DataNode DataXceiver Receiving block blk5009020203888190378 src 10 251 199 19 52622 dest 10 251 199 19 50010 09a53393 ,0
32 81109 210248 1138 INFO dfs DataNode PacketResponder Received block blk6921674711959888070 of size 67108864 from 10 251 65 203 e3df2680 ,0
33 81109 210407 33 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 250 7 244 50010 is added to blk5165786360127153975 size 67108864 5d5de21c ,0
34 81109 210458 1278 INFO dfs DataNode DataXceiver Receiving block blk2937758977269298350 src 10 251 194 129 37476 dest 10 251 194 129 50010 09a53393 ,0
35 81109 210551 32 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 250 6 191 50010 is added to blk673825774073966710 size 67108864 5d5de21c ,0
36 81109 210637 1283 INFO dfs DataNode PacketResponder Received block blk7526945448667194862 of size 67108864 from 10 251 203 80 e3df2680 ,0
37 81109 210656 1334 INFO dfs DataNode PacketResponder Received block blk2094397855762091248 of size 67108864 from 10 251 126 83 e3df2680 ,0
38 81109 210712 1333 INFO dfs DataNode PacketResponder Received block blk8523968015014407246 of size 67108864 from 10 251 214 225 e3df2680 ,0
39 81109 210743 27 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 89 155 50010 is added to blk8181993091797661153 size 67108864 5d5de21c ,1
40 81109 210801 1357 INFO dfs DataNode DataXceiver Receiving block blk6276023454199613372 src 10 251 65 237 34085 dest 10 251 65 237 50010 09a53393 ,0
41 81109 210807 1408 INFO dfs DataNode PacketResponder Received block blk4755566011267050000 of size 67108864 from 10 251 75 79 e3df2680 ,0
42 81109 210812 1395 INFO dfs DataNode PacketResponder Received block blk3909548841543565741 of size 3542967 from 10 251 195 33 e3df2680 ,0
43 81109 210921 1452 INFO dfs DataNode DataXceiver Receiving block blk6809181994368905854 src 10 250 17 225 51754 dest 10 250 17 225 50010 09a53393 ,0
44 81109 210935 1458 INFO dfs DataNode PacketResponder Received block blk8829027411458566099 of size 67108864 from 10 251 38 214 e3df2680 ,0
45 81109 211029 31 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 106 50 50010 is added to blk29548654251973735 size 67108864 5d5de21c ,0
46 81109 211038 1490 INFO dfs DataNode PacketResponder PacketResponder 1 for block blk5073870177832699716 terminating dc2c74b7 ,0
47 81109 211216 1504 INFO dfs DataNode PacketResponder Received block blk8241093737585222406 of size 67108864 from 10 250 5 161 e3df2680 ,0
48 81109 211301 29 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 111 228 50010 is added to blk2480595760294717232 size 67108864 5d5de21c ,0
49 81109 211353 1574 INFO dfs DataNode PacketResponder PacketResponder 0 for block blk7791237942696729620 terminating dc2c74b7 ,0
50 81109 211403 31 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 202 134 50010 is added to blk2113880130496815041 size 3549917 5d5de21c ,0
51 81109 211453 1623 INFO dfs DataNode PacketResponder Received block blk1064470652608359218 of size 67108864 from 10 251 39 242 e3df2680 ,0
52 81109 211528 29 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 110 8 50010 is added to blk1661553043410372067 size 67108864 5d5de21c ,0
53 81109 211617 1635 INFO dfs DataNode PacketResponder PacketResponder 1 for block blk1527267659500322006 terminating dc2c74b7 ,0
54 81109 211918 1777 INFO dfs DataNode PacketResponder PacketResponder 1 for block blk4886940526690879848 terminating dc2c74b7 ,0
55 81109 212029 1814 INFO dfs DataNode PacketResponder Received block blk2452477352812192142 of size 67108864 from 10 250 7 244 e3df2680 ,0
56 81109 212219 1885 INFO dfs DataNode PacketResponder PacketResponder 0 for block blk4229375751333894621 terminating dc2c74b7 ,0
57 81109 212220 1946 INFO dfs DataNode DataXceiver Receiving block blk774267833966018354 src 10 251 38 53 51057 dest 10 251 38 53 50010 09a53393 ,0
58 81109 212245 27 INFO dfs FSNamesystem BLOCK NameSystem allocateBlock user root rand temporary task2008110920300001m0016480 part01648 blk2513940824125131775 3d91fa85 ,0
59 81109 212317 34 INFO dfs FSNamesystem BLOCK NameSystem allocateBlock user root rand temporary task2008110920300001m0018660 part01866 blk1282453782148343691 3d91fa85 ,0
60 81109 212338 2007 INFO dfs DataNode PacketResponder Received block blk518701095493827363 of size 67108864 from 10 251 214 67 e3df2680 ,0
61 81109 212403 35 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 106 50 50010 is added to blk2530087534157630851 size 67108864 5d5de21c ,0
62 81109 212440 31 INFO dfs FSNamesystem BLOCK NameSystem addStoredBlock blockMap updated 10 251 198 196 50010 is added to blk427714267500527780 size 67108864 5d5de21c ,0
63 81109 212703 2053 INFO dfs DataNode PacketResponder Received block blk967145856473901804 of size 67108864 from 10 250 6 191 e3df2680 ,0
64 81109 212904 2174 INFO dfs DataNode PacketResponder Received block blk8408125361497769001 of size 67108864 from 10 251 70 211 e3df2680 ,1
65 81109 212931 2211 INFO dfs DataNode PacketResponder Received block blk1614641487214609125 of size 67108864 from 10 251 193 175 e3df2680 ,0
